# u_min=1, u_max=20000, r_max=65536, terms_max=8192
# sieve_limit=93727
# timestamp=20260430-164131
first_term,last_term,terms,u,v,r,objective,a,power_2_a,n,m_n
5*7,11*13,3,3,5,1,255,0,1,8,255
5*11,53*61,14,3,16,2,16382,1,2,13,8191
5*19,7*23,2,3,4,5,256,8,256,1,1
5*41,11*47,3,3,5,10,1023,0,1,10,1023
5*47,13*61,4,3,6,12,2048,11,2048,1,1
5*127,53*193,14,3,16,28,64512,10,1024,6,63
5*163,7*167,2,3,4,35,1984,6,64,5,31
5*167,7*173,2,3,4,36,2046,1,2,10,1023
5*887,13*919,4,3,6,151,32752,4,16,11,2047
5*2707,7*2711,2,3,4,391,32512,8,256,7,127
5*7243,19*7307,6,3,8,923,524288,19,524288,1,1
5*13469,31*13567,9,3,11,1594,2097151,0,1,21,2097151
5*54581,19*54629,6,3,8,5552,3932160,18,262144,4,15
7*23,11*29,2,4,5,5,480,5,32,4,15
7*53,11*59,2,4,5,12,1020,2,4,8,255
7*73,7*73,1,4,4,17,511,0,1,9,511
7*113,23*149,6,4,9,26,12288,12,4096,2,3
7*167,11*173,2,4,5,35,3072,10,1024,2,3
7*347,23*373,6,4,9,65,32512,8,256,7,127
7*2381,59*2473,14,4,17,349,1048560,4,16,16,65535
7*2711,17*2729,4,4,7,391,130560,9,512,8,255
7*3637,11*3643,2,4,5,505,65532,2,4,14,16383
7*29123,11*29129,2,4,5,3160,524280,3,8,16,65535
7*57793,11*57803,2,4,5,5852,1040384,13,8192,7,127
7*62581,19*62617,5,4,8,6278,4194303,0,1,22,4194303
7*87317,17*87359,4,4,7,8475,4192256,11,2048,11,2047
7*232103,11*232109,2,4,5,20605,4177920,14,16384,8,255
11*19,13*23,2,5,6,3,508,2,4,7,127
11*8747,29*8803,6,5,10,1086,983040,16,65536,4,15
11*594467,29*594523,6,5,10,48678,66584576,19,524288,7,127
13*131,17*137,2,6,7,26,4032,6,64,6,63
13*421,137*599,28,6,33,76,1048572,2,4,18,262143
13*1091,17*1093,2,6,7,176,32764,2,4,13,8191
13*3947,97*4127,20,6,25,542,4194288,4,16,18,262143
13*13831,461*14669,84,6,89,1629,268435328,7,128,21,2097151
13*17449,17*17467,2,6,7,2001,523776,9,512,10,1023
13*254161,31*254213,6,6,11,22369,33554304,7,128,18,262143
17*1483,29*1493,4,7,10,228,131008,6,64,11,2047
17*14533,19*14537,2,7,8,1694,523264,10,1024,9,511
19*151,31*167,4,8,11,28,16384,14,16384,1,1
19*14281,2749*18049,394,8,401,1668,8589926400,13,8192,20,1048575
23*37,29*41,2,9,10,3,2040,3,8,8,255
23*89,23*89,1,9,9,15,2047,0,1,11,2047
23*4877,29*4889,2,9,10,644,253952,13,8192,5,31
23*5107,43*5167,6,9,14,674,1048320,8,256,12,4095
23*20143,29*20147,2,9,10,2269,1047552,10,1024,10,1023
23*68791,37*68821,4,9,12,6829,8257536,17,131072,6,63
23*657581,43*657649,6,9,14,53377,134152192,16,65536,11,2047
29*31,31*37,2,10,11,1,2046,1,2,10,1023
29*2879,43*2909,5,10,14,407,524287,0,1,19,524287
29*24623,59*24697,8,10,17,2718,8388480,7,128,16,65535
31*43,37*47,2,11,12,3,3072,10,1024,2,3
37*419,41*421,2,12,13,69,32764,2,4,13,8191
37*2719,47*2741,4,12,15,385,458752,16,65536,3,7
37*243101,73*243197,10,12,21,21462,134217664,6,64,21,2097151
41*59,47*67,3,13,15,4,8191,0,1,13,8191
41*193,43*197,2,13,14,31,16384,14,16384,1,1
41*773,43*787,2,13,14,124,65534,1,2,15,32767
43*283,127*397,18,14,31,47,523776,9,512,10,1023
47*251,61*269,4,15,18,39,57344,13,8192,3,7
47*643,53*647,2,15,16,102,64512,10,1024,6,63
47*178481,47*178481,1,15,15,16184,8388607,0,1,23,8388607
71*228733,167*228913,20,20,39,20303,536870896,4,16,25,33554431
73*109537,173*109789,20,21,40,10392,268435452,2,4,26,67108863
79*1459,653*2207,98,22,119,210,67108860,2,4,24,16777215
79*11351,191*11551,22,22,43,1349,33554176,8,256,17,131071
79*59399,461*60139,68,22,89,5983,1073741824,30,1073741824,1,1
83*757,89*761,2,23,24,111,130560,9,512,8,255
83*25153,181*25343,20,23,42,2753,67092480,14,16384,12,4095
83*48757,89*48761,2,23,24,4989,8386560,11,2048,12,4095
89*173,97*179,2,24,25,16,32760,3,8,12,4095
97*3301,113*3329,6,25,30,439,2088960,13,8192,8,255
97*360947,151*361033,12,25,36,30793,528482304,23,8388608,6,63
101*569,653*1201,94,26,119,78,33030144,19,524288,6,63
101*1303,197*1459,20,26,45,187,4161536,15,32768,7,127
101*562399,1289*564793,184,26,209,46222,68719476728,3,8,33,8589934591
109*1087,131*1097,4,29,32,152,524284,2,4,17,131071
109*7853,151*7907,8,29,36,963,8323072,16,65536,7,127
113*337,167*389,10,30,39,38,524032,8,256,11,2047
127*241,131*251,2,31,32,22,63488,11,2048,5,31
127*503,131*509,2,31,32,65,130560,9,512,8,255
127*1013,131*1019,2,31,32,139,262140,2,4,16,65535
131*487,137*491,2,32,33,61,131064,3,8,14,16383
131*249911,137*249923,2,32,33,22005,66977792,17,131072,9,511
137*467,139*479,2,33,34,58,130560,9,512,8,255
137*7537,139*7541,2,33,34,922,2080768,14,16384,7,127
137*121571,139*121577,2,33,34,11409,33554430,1,2,24,16777215
139*2243,167*2281,6,34,39,300,2097152,21,2097152,1,1
149*39341,193*39419,10,35,44,4106,67100672,13,8192,13,8191
157*165229,311*165541,28,37,64,15073,1069547520,22,4194304,8,255
167*3079,173*3083,2,39,40,401,1047552,10,1024,10,1023
167*6163,173*6173,2,39,40,764,2097150,1,2,20,1048575
179*467,569*887,64,41,104,50,16777214,1,2,23,8388607
181*33329,1303*35081,172,42,213,3526,4294950912,14,16384,18,262143
191*419,593*839,66,43,108,38,16711680,16,65536,8,255
191*941,239*1009,10,43,52,117,2088960,13,8192,8,255
191*1321,199*1367,4,43,46,173,1048572,2,4,18,262143
191*41659,199*41687,4,43,46,4316,32505856,20,1048576,5,31
223*6653,269*6709,10,48,57,809,16252928,19,524288,5,31
227*96973,337*97177,20,49,68,9284,536870848,6,64,23,8388607
227*174367,397*174737,30,49,78,15817,1610612736,29,536870912,2,3
257*15809,271*15859,4,55,58,1790,16776960,8,256,16,65535
257*24709,577*25253,52,55,106,2681,536608768,18,262144,11,2047
269*967,271*971,2,57,58,106,523264,10,1024,9,511
293*6983,307*6991,2,62,63,836,4192256,11,2048,11,2047
293*431731,313*431797,4,62,65,36233,528482304,23,8388608,6,63
307*409,317*431,4,63,66,17,524272,4,16,15,32767
311*74707,5281*81839,638,64,701,7301,135291469824,31,2147483648,6,63
311*437471,389*437641,14,64,77,36690,2147450880,15,32768,16,65535
337*2693,431*2797,16,68,83,324,16777200,4,16,20,1048575
347*45887,383*45979,8,69,76,4684,133693440,19,524288,8,255
367*391231,433*391373,12,73,84,33095,1879048192,28,268435456,3,7
379*22409,769*23027,62,75,136,2433,805306368,28,268435456,2,3
379*33023,383*33029,2,75,76,3465,25165824,23,8388608,2,3
379*246793,491*246979,20,75,94,21703,2147483640,3,8,28,268435455
397*3229,811*3727,64,78,141,379,134217696,5,32,22,4194303
397*672743,401*672757,2,78,79,54434,536854528,14,16384,15,32767
419*159779,421*159787,2,81,82,14585,134217728,27,134217728,1,1
433*433,617*617,30,84,113,0,8388606,1,2,22,4194303
457*569,461*571,2,88,89,16,523264,10,1024,9,511
487*6737,601*6883,18,93,110,776,67092480,14,16384,12,4095
491*18743,1319*19991,122,94,215,2045,2147352576,17,131072,14,16383
503*8287,509*8291,2,96,97,943,8388480,7,128,16,65535
509*2293,787*2633,42,97,138,244,67108864,26,67108864,1,1
541*7919,617*8059,14,100,113,900,65011712,21,2097152,5,31
547*29927,569*29983,4,101,104,3140,66977792,17,131072,9,511
547*121571,557*121577,2,101,102,11341,134217726,1,2,26,67108863
601*2447,727*2633,20,110,129,253,33538048,14,16384,11,2047
607*427919,647*427991,8,111,118,35882,2147481600,11,2048,20,1048575
617*53861,619*53881,2,113,114,5374,66584576,19,524288,7,127
653*6329,673*6353,4,119,122,705,16777212,2,4,22,4194303
677*769,683*773,2,123,124,13,1048572,2,4,18,262143
719*18493,947*18911,34,128,161,1990,528482304,23,8388608,6,63
839*24113,1009*24391,24,146,169,2539,536870896,4,16,25,33554431
859*3911,2029*5279,160,149,308,392,1073741312,9,512,21,2097151
887*582067,947*582167,8,154,161,47592,4294950912,14,16384,18,262143
937*70423,971*70459,6,159,164,6818,402653184,27,134217728,2,3
941*20773,1471*21517,74,160,233,2181,1879048192,28,268435456,3,7
1181*3853,1279*3947,14,194,207,341,67108352,9,512,17,131071
1229*3407,1231*3413,2,201,202,278,8388606,1,2,22,4194303
1231*215767,1259*215801,4,202,205,19066,1073741816,3,8,27,134217727
1367*4723,1439*4799,10,219,228,418,67092480,14,16384,12,4095
1427*46993,1429*46997,2,225,226,4625,134217724,2,4,25,33554431
1427*93983,1429*93997,2,225,226,8844,268435454,1,2,27,134217727
1447*2741,1487*2797,8,229,236,171,32505856,20,1048576,5,31
1483*45077,1493*45121,4,235,238,4445,268435456,28,268435456,1,1
1493*7487,1801*7823,42,238,279,710,528482304,23,8388608,6,63
1571*73127,1697*73369,18,248,265,6982,2147483644,2,4,29,536870911
1609*36583,3137*38651,193,254,446,3625,17179869183,0,1,34,17179869183
1747*2341,1801*2383,8,272,279,75,33554400,5,32,20,1048575
1877*553043,2711*554419,108,288,395,45262,137438949376,12,4096,25,33554431
2081*407821,2137*407923,10,313,322,34125,8589803520,17,131072,16,65535
2141*31327,2143*31333,2,323,324,3054,134217726,1,2,26,67108863
2161*2531,2221*2557,6,326,331,44,33554304,7,128,18,262143
2221*5827,2287*5879,10,331,340,434,132120576,21,2097152,6,63
2281*14533,2339*14563,8,339,346,1362,268435200,8,256,20,1048575
2377*144349,8363*152461,696,352,1047,13018,549755813856,5,32,34,17179869183
2593*650107,2671*650291,10,378,387,52460,17146314752,25,33554432,9,511
2633*6323,2659*6343,4,382,385,441,67104768,12,4096,14,16383
2687*33149,2711*33191,6,390,395,3162,536868864,11,2048,18,262143
2719*6143,2729*6151,2,397,398,404,33488896,16,65536,9,511
2731*145721,4799*148711,248,399,646,13085,137422176256,24,16777216,13,8191
2767*506929,5077*510611,276,403,678,41661,549755797504,14,16384,25,33554431
3457*382843,4211*383987,94,483,576,32027,137438953468,2,4,35,34359738367
3607*16103,8693*21871,580,504,1083,1371,68719443968,15,32768,21,2097151
3613*9281,3617*9283,2,505,506,644,67108864,26,67108864,1,1
3697*9161,4159*9661,58,516,573,620,2147221504,18,262144,13,8191
3727*4363,6277*6959,298,520,817,76,8589933568,10,1024,23,8388607
4157*69247,9187*75557,568,572,1139,6305,274844352512,25,33554432,13,8191
4337*15467,4339*15473,2,592,593,1215,134217726,1,2,26,67108863
4421*13049,5923*14779,178,601,778,954,12884901888,32,4294967296,2,3
4421*485567,4423*485587,2,601,602,39818,4294443008,19,524288,13,8191
4517*305483,7187*309403,306,613,918,25838,549487378432,28,268435456,11,2047
4643*228341,4783*228511,16,627,642,19661,17179852800,14,16384,20,1048575
4919*60383,60811*123007,5474,657,6130,5435,17592185782272,18,262144,26,67108863
4937*65617,5119*65851,26,660,685,5894,8589934576,4,16,29,536870911
5023*575489,5801*576577,88,674,761,46566,274877906688,8,256,30,1073741823
5281*80491,5387*80621,10,701,710,7178,4294967292,2,4,30,1073741823
5399*74521,5407*74527,2,712,713,6638,805306368,28,268435456,2,3
6197*21649,6199*21661,2,805,806,1626,268435392,6,64,22,4194303
6263*10709,6269*10711,2,814,815,491,134217726,1,2,26,67108863
6263*16063,6269*16067,2,814,815,1054,201326592,26,67108864,2,3
6299*503351,6997*504359,82,819,900,40963,274877906936,3,8,35,34359738367
6301*53047,26177*75793,2058,820,2877,4591,2199023239168,14,16384,27,134217727
6301*170267,6311*170279,2,820,821,14702,2147483136,9,512,22,4194303
6529*81349,6661*81547,16,844,859,7116,8589930496,12,4096,21,2097151
6869*660853,6983*661049,15,884,898,52753,68719476735,0,1,36,68719476735
6991*13487,8429*14983,156,899,1054,700,17179607040,18,262144,16,65535
7517*35353,8059*36013,62,952,1013,2814,17179869182,1,2,33,8589934591
7583*140869,7603*140897,4,963,966,12125,4278190080,24,16777216,8,255
8563*31327,8573*31333,2,1067,1068,2310,536870910,1,2,28,268435455
8731*105263,11117*108287,260,1088,1347,8955,274877906936,3,8,35,34359738367
8761*244861,8779*244873,2,1093,1094,20531,4294967288,3,8,29,536870911
8831*269897,9337*270563,56,1100,1155,22536,137436856320,21,2097152,16,65535
8971*172199,14071*178793,544,1116,1659,14567,1099511625728,11,2048,29,536870911
9043*118571,9067*118603,4,1124,1127,10054,4294966272,10,1024,22,4194303
9151*10459,9337*10663,22,1134,1155,146,2147483616,5,32,26,67108863
10651*402881,10667*402947,4,1299,1302,32773,17179852800,14,16384,20,1048575
10789*24371,12919*26711,226,1314,1539,1391,68719476728,3,8,33,8589934591
11657*611131,11981*611707,38,1400,1437,48545,274861129728,24,16777216,14,16383
11789*85133,14057*87917,246,1413,1658,6878,274810798080,26,67108864,12,4095
14593*124171,51769*166949,3588,1710,5297,9953,17592186044416,44,17592186044416,1,1
16901*128603,17477*129289,62,1949,2010,10092,137438691328,18,262144,19,524287
19553*27449,19559*27457,2,2218,2219,782,1073741760,6,64,24,16777215
19861*432007,19867*432023,2,2247,2248,34072,17163091968,24,16777216,10,1023
20611*25219,20627*25229,2,2324,2325,458,1040187392,25,33554432,5,31
21341*101141,58661*142537,3540,2396,5935,7290,17592186044160,8,256,36,68719476735
25469*79063,41177*95959,1500,2809,4308,4941,4397979402240,26,67108864,16,65535
32479*65827,32503*65839,4,3485,3488,3089,8556380160,25,33554432,8,255
34337*80473,70489*118717,3316,3670,6985,4207,17592185782272,18,262144,26,67108863
34939*44159,35407*44633,44,3728,3771,868,68719476608,7,128,29,536870911
35851*51239,41413*56893,526,3809,4334,1434,1099511595008,15,32768,25,33554431
40841*68489,41809*69593,96,4276,4371,2534,273804165120,30,1073741824,8,255
45361*378661,45377*378667,2,4707,4708,27483,34359214080,19,524288,16,65535
47977*259099,48907*260191,86,4945,5030,17821,1082331758592,34,17179869184,6,63
50497*297659,50503*297683,2,5179,5180,20642,30064771072,32,4294967296,3,7
55967*809719,56951*810907,96,5681,5776,58977,4393751543808,32,4294967296,10,1023
66973*817979,67409*818569,40,6674,6713,58596,2198989701120,25,33554432,16,65535
69239*247279,69653*247649,32,6876,6907,14939,549753716736,21,2097152,18,262143
70451*269141,102409*304907,2828,6980,9807,16595,70360154243072,33,8589934592,13,8191
87337*806929,92767*813499,482,8481,8962,55980,35184371564544,19,524288,26,67108863
112571*242059,190063*323717,6508,10667,17174,10728,281474708275200,28,268435456,20,1048575
122971*279353,123001*279397,2,11563,11564,12821,68718428160,20,1048576,16,65535
143249*899401,143263*899447,4,13280,13283,57957,515396075520,35,34359738368,4,15
147331*427241,152041*432349,410,13620,14029,22321,26388279066624,43,8796093022208,2,3
